,Model Name,Selected Features,Parameters,Train Time,Test Time,Train Accuracy,Test Accuracy,F1,Precision,Recall
17,DecisionTree + RandomOverSampler + k=10 + isotonic,"['NG' 'NLG' 'NPM' 'TNG' 'TNLG' 'TNLPM' 'TNPM' 'Import Statement Rules'
 'Java Logging Rules' 'Number of Bugs']","{'max_depth': 10, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 0.8057679390213975}",0.017844438552856445,0.0025730133056640625,1.0,1.0,1.0,1.0,1.0
18,ExtraTrees + RandomOverSampler + k=10 + isotonic,"['NG' 'NLG' 'NPM' 'TNG' 'TNLG' 'TNLPM' 'TNPM' 'Import Statement Rules'
 'Java Logging Rules' 'Number of Bugs']",{},0.37413501739501953,0.01788163185119629,1.0,1.0,1.0,1.0,1.0
19,LogisticRegression + RandomOverSampler + k=10 + isotonic,"['NG' 'NLG' 'NPM' 'TNG' 'TNLG' 'TNLPM' 'TNPM' 'Import Statement Rules'
 'Java Logging Rules' 'Number of Bugs']",{},0.1361083984375,0.002440929412841797,0.9986206896551724,1.0,1.0,1.0,1.0
20,SGD + RandomOverSampler + k=17 + isotonic,"['CBO' 'NOI' 'LLOC' 'NG' 'NLA' 'NLG' 'NM' 'NPM' 'TNG' 'TNLG' 'TNLM'
 'TNLPM' 'TNM' 'TNPM' 'Import Statement Rules' 'Java Logging Rules'
 'Number of Bugs']","{'alpha': 0.09436633643991614, 'loss': 'modified_huber', 'penalty': 'l1'}",0.19974088668823242,0.0024175643920898438,0.9793103448275862,0.9,0.8933333333333333,0.9333333333333332,0.9333333333333332
21,XGB + RandomOverSampler + k=10 + isotonic,"['NG' 'NLG' 'NPM' 'TNG' 'TNLG' 'TNLPM' 'TNPM' 'Import Statement Rules'
 'Java Logging Rules' 'Number of Bugs']","{'max_depth': 15, 'learning_rate': 0.0551915211343645, 'subsample': 0.729119911395973, 'colsample_bytree': 0.7014863181257388, 'reg_alpha': 3.501368293215524e-05, 'reg_lambda': 0.39650853701486793, 'min_child_weight': 4.050436948473986}",0.4160912036895752,0.005408525466918945,1.0,1.0,1.0,1.0,1.0
22,LGBM + RandomOverSampler + k=10 + isotonic,"['NG' 'NLG' 'NPM' 'TNG' 'TNLG' 'TNLPM' 'TNPM' 'Import Statement Rules'
 'Java Logging Rules' 'Number of Bugs']","{'num_leaves': 245, 'learning_rate': 0.03714769612841036, 'max_depth': 4, 'min_child_samples': 46, 'subsample': 0.9593565390179357, 'colsample_bytree': 0.6608959788502944, 'reg_alpha': 0.0010626760727055367, 'reg_lambda': 0.0031117489591253964}",0.1749742031097412,0.004548072814941406,1.0,1.0,1.0,1.0,1.0
23,CatBoost + RandomOverSampler + k=10 + isotonic,"['NG' 'NLG' 'NPM' 'TNG' 'TNLG' 'TNLPM' 'TNPM' 'Import Statement Rules'
 'Java Logging Rules' 'Number of Bugs']",{},8.629770994186401,0.004525899887084961,1.0,1.0,1.0,1.0,1.0
24,MLP + RandomOverSampler + k=10 + isotonic,"['NG' 'NLG' 'NPM' 'TNG' 'TNLG' 'TNLPM' 'TNPM' 'Import Statement Rules'
 'Java Logging Rules' 'Number of Bugs']","{'activation': 'logistic', 'solver': 'lbfgs', 'alpha': 0.07354378662740273}",3.63189435005188,0.004061222076416016,1.0,1.0,1.0,1.0,1.0
25,GaussianNB + RandomOverSampler + k=10 + isotonic,"['NG' 'NLG' 'NPM' 'TNG' 'TNLG' 'TNLPM' 'TNPM' 'Import Statement Rules'
 'Java Logging Rules' 'Number of Bugs']",{},0.01827406883239746,0.003088235855102539,1.0,1.0,1.0,1.0,1.0
26,SVC + RandomOverSampler + k=10 + isotonic,"['NG' 'NLG' 'NPM' 'TNG' 'TNLG' 'TNLPM' 'TNPM' 'Import Statement Rules'
 'Java Logging Rules' 'Number of Bugs']","{'kernel': 'rbf', 'C': 4.6510507169054645, 'gamma': 0.0011700736167225684}",0.30098962783813477,0.0052776336669921875,0.9995402298850574,1.0,1.0,1.0,1.0
27,KNeighbors + RandomOverSampler + k=10 + isotonic,"['NG' 'NLG' 'NPM' 'TNG' 'TNLG' 'TNLPM' 'TNPM' 'Import Statement Rules'
 'Java Logging Rules' 'Number of Bugs']","{'n_neighbors': 23, 'metric': 'manhattan', 'weights': 'distance'}",0.03923749923706055,0.004785299301147461,1.0,0.9,0.8933333333333333,0.9333333333333332,0.9333333333333332
